0.00, 67.30, 0.00, 18.70, 0, 3, 16, 420, 1, 85, 81, 129, 1.03, 0.02, -0.14, 17.81, 18.75, 18.09, 18.25, 17.66, 17.37, 17.50, 17.59, 17.66, 17.53, 17.34, 17.47, 17.34, 17.72, 18.87, 19.09, 1
0.00, 67.30, 0.00, 18.70, 2, 5, -10, 410, 1, 82, 78, 128, 1.03, 0.03, -0.13, 18.66, 19.25, 18.37, 18.25, 17.66, 17.41, 17.50, 17.69, 17.59, 17.69, 17.41, 17.53, 17.62, 19.06, 19.25, 18.62, 1
-0.10, 67.20, 0.00, 18.70, -3, 2, -7, 403, 1, 78, 81, 128, 1.05, 0.04, -0.14, 18.75, 19.84, 18.97, 18.41, 17.84, 17.62, 17.66, 17.81, 17.72, 17.81, 17.53, 17.69, 18.50, 19.72, 19.03, 18.91, 1
0.00, 67.20, 0.00, 18.70, 1, 3, 1, 404, 1, 78, 85, 127, 1.04, 0.03, -0.14, 18.78, 19.62, 19.25, 18.91, 18.06, 17.78, 17.91, 17.81, 17.94, 17.97, 17.72, 17.75, 18.50, 19.41, 19.50, 19.34, 1
0.00, 67.20, 0.00, 18.70, 0, 3, 19, 423, 1, 110, 107, 135, 1.04, 0.02, -0.13, 17.56, 17.72, 18.06, 17.91, 18.66, 19.25, 19.16, 18.87, 17.94, 17.75, 17.72, 17.72, 17.69, 17.91, 19.59, 20.87, 1
0.00, 67.20, 0.00, 18.70, 15, 18, -61, 362, 1, 121, 103, 136, 1.04, 0.02, -0.14, 17.28, 17.53, 17.62, 17.69, 17.66, 17.59, 17.84, 18.75, 17.84, 17.66, 17.56, 17.66, 17.56, 17.53, 18.06, 18.09, 9
-0.10, 67.10, 0.00, 18.70, 11, 29, -2, 360, 1, 122, 97, 141, 1.05, 0.02, -0.14, 17.59, 17.72, 17.94, 17.72, 18.12, 17.62, 17.94, 18.66, 17.94, 17.91, 17.66, 17.87, 17.69, 17.69, 18.00, 18.56, 9
0.00, 67.10, 0.00, 18.70, -7, 22, -5, 355, 1, 116, 97, 145, 1.05, 0.02, -0.14, 17.62, 17.75, 17.97, 17.87, 17.84, 17.87, 17.97, 18.34, 18.03, 17.94, 17.72, 17.78, 17.72, 17.87, 18.00, 18.19, 9
0.00, 67.10, 0.00, 18.70, 31, 53, -6, 349, 1, 107, 103, 146, 1.04, 0.02, -0.13, 17.62, 17.78, 17.87, 17.94, 17.91, 17.75, 17.91, 18.31, 18.00, 17.84, 17.53, 17.91, 17.97, 17.59, 18.06, 18.19, 9
-0.10, 67.00, 0.00, 18.70, -28, 25, -1, 348, 1, 103, 110, 139, 1.04, 0.03, -0.14, 17.75, 17.62, 17.91, 18.09, 18.31, 17.87, 17.97, 18.94, 18.06, 18.00, 17.75, 17.81, 18.03, 17.81, 18.37, 18.62, 9
0.00, 67.00, 0.00, 18.70, -1, 24, 74, 422, 1, 116, 103, 134, 1.04, 0.03, -0.14, 17.94, 17.94, 18.12, 18.12, 18.12, 18.91, 18.87, 18.56, 18.22, 18.25, 18.06, 18.00, 17.94, 17.91, 18.72, 19.50, 9
0.00, 67.00, 0.00, 18.70, -5, 19, -37, 385, 1, 119, 98, 137, 1.04, 0.02, -0.13, 17.78, 18.03, 18.25, 18.62, 19.09, 18.75, 18.09, 18.22, 18.16, 18.25, 17.97, 18.00, 18.00, 18.12, 18.66, 19.69, 9
0.00, 67.00, 0.00, 18.70, 8, 27, 10, 395, 1, 111, 92, 141, 1.04, 0.03, -0.13, 17.91, 18.09, 18.53, 19.41, 19.09, 18.41, 17.97, 18.44, 18.31, 18.19, 18.03, 18.16, 18.12, 18.16, 19.16, 19.72, 9
0.00, 67.00, 0.00, 18.70, -10, 17, -2, 393, 1, 107, 96, 143, 1.04, 0.03, -0.14, 18.06, 18.22, 18.41, 19.28, 19.19, 18.53, 18.09, 18.34, 18.31, 18.25, 18.03, 18.25, 18.00, 18.28, 19.12, 19.87, 9
0.00, 67.00, 0.00, 18.70, 5, 22, -15, 378, 1, 102, 104, 143, 1.04, 0.02, -0.13, 17.87, 18.00, 18.34, 18.44, 19.03, 18.84, 18.25, 18.25, 18.19, 18.25, 18.00, 18.09, 18.06, 18.12, 18.75, 19.56, 9
0.00, 67.00, 0.00, 18.70, -4, 18, 31, 409, 1, 107, 107, 137, 1.04, 0.03, -0.14, 18.06, 18.03, 18.28, 18.34, 18.31, 18.62, 18.56, 18.37, 18.25, 18.28, 18.16, 18.19, 18.03, 18.06, 18.34, 19.28, 9
0.00, 67.00, 0.00, 18.70, 2, 20, -53, 356, 1, 119, 104, 136, 1.04, 0.03, -0.14, 17.59, 17.62, 18.09, 17.97, 18.00, 17.94, 17.87, 18.16, 18.03, 17.97, 17.84, 17.75, 17.66, 17.94, 17.84, 18.22, 9
0.00, 67.00, 0.00, 18.70, -3, 17, 0, 356, 1, 122, 98, 140, 1.04, 0.03, -0.14, 17.37, 17.59, 17.81, 17.91, 17.81, 17.50, 17.75, 18.16, 17.94, 17.81, 17.56, 17.69, 17.59, 17.59, 17.69, 18.03, 9
0.00, 67.00, 0.00, 18.70, 6, 23, -4, 352, 1, 118, 96, 144, 1.04, 0.03, -0.13, 17.69, 17.37, 17.91, 17.91, 17.72, 17.62, 17.62, 17.97, 17.84, 17.66, 17.81, 17.69, 17.59, 17.56, 17.78, 17.87, 9
0.00, 67.00, 0.00, 18.70, -1, 22, -4, 348, 1, 110, 100, 146, 1.04, 0.03, -0.13, 17.53, 17.56, 17.72, 17.62, 17.78, 17.50, 17.31, 17.50, 17.81, 17.78, 17.31, 17.56, 17.47, 17.41, 17.62, 17.56, 9
-0.10, 66.90, 0.00, 18.70, -3, 19, -5, 343, 1, 104, 105, 145, 1.05, 0.02, -0.13, 17.53, 17.41, 17.66, 17.69, 17.81, 17.50, 17.56, 17.56, 17.78, 17.59, 17.53, 17.50, 17.47, 17.41, 17.81, 17.62, 9
0.00, 66.90, 0.00, 18.70, 2, 21, -2, 341, 0, 105, 110, 139, 1.04, 0.02, -0.13, 17.34, 17.62, 17.56, 17.44, 17.47, 17.41, 17.47, 17.47, 17.91, 17.44, 17.34, 17.37, 17.47, 17.28, 17.44, 17.53, 9
0.00, 66.90, 0.00, 18.70, 0, 21, 5, 346, 0, 114, 108, 136, 1.04, 0.03, -0.14, 17.31, 17.16, 17.59, 17.28, 17.41, 17.28, 17.31, 17.31, 17.34, 17.50, 17.19, 17.28, 17.16, 17.25, 17.44, 17.50, 9
-0.10, 66.80, 0.00, 18.70, -1, 20, 7, 353, 0, 122, 101, 138, 1.04, 0.03, -0.13, 17.03, 17.03, 17.25, 17.34, 17.41, 17.25, 17.16, 17.19, 17.59, 17.31, 17.00, 17.00, 17.03, 17.06, 17.22, 17.44, 9
0.00, 66.80, 0.00, 18.70, 3, 23, -3, 350, 0, 118, 97, 144, 1.04, 0.03, -0.13, 17.09, 17.22, 17.31, 17.25, 17.28, 17.16, 17.06, 17.28, 17.62, 17.19, 17.03, 17.25, 17.03, 17.03, 17.25, 17.25, 9
0.00, 66.80, 0.00, 18.70, -2, 21, -7, 343, 0, 108, 102, 146, 1.04, 0.02, -0.12, 17.34, 17.34, 17.34, 17.44, 17.41, 17.19, 17.34, 17.28, 17.56, 17.47, 17.16, 17.28, 17.22, 17.06, 17.53, 17.41, 9
0.00, 66.80, 0.10, 18.80, 7, 28, -4, 339, 0, 104, 109, 139, 1.04, 0.03, -0.13, 17.19, 17.28, 17.47, 17.56, 17.41, 17.31, 17.31, 17.44, 17.50, 17.66, 17.22, 17.50, 17.19, 17.19, 17.37, 17.34, 9
0.10, 66.90, 0.00, 18.80, -3, 25, 5, 344, 0, 112, 109, 137, 1.04, 0.03, -0.14, 17.37, 17.44, 17.78, 17.41, 17.50, 17.41, 17.37, 17.37, 17.66, 17.53, 17.44, 17.50, 17.34, 17.19, 17.53, 17.47, 9
0.00, 66.90, 0.00, 18.80, -6, 19, 5, 349, 0, 122, 103, 136, 1.04, 0.02, -0.13, 17.28, 17.50, 17.75, 17.50, 17.47, 17.47, 17.44, 17.47, 17.75, 17.69, 17.31, 17.41, 17.41, 17.34, 17.44, 17.53, 9
0.00, 66.90, 0.00, 18.80, 2, 21, 2, 351, 0, 122, 97, 142, 1.04, 0.03, -0.13, 17.31, 17.44, 17.69, 17.62, 17.56, 17.44, 17.53, 17.59, 17.91, 17.62, 17.50, 17.53, 17.44, 17.22, 17.56, 17.41, 9
0.00, 66.90, 0.00, 18.80, 3, 24, -4, 347, 0, 116, 98, 145, 1.04, 0.02, -0.13, 17.69, 17.69, 17.97, 17.97, 17.81, 17.78, 17.78, 17.84, 18.06, 17.97, 17.75, 17.66, 17.66, 17.69, 17.91, 17.84, 9
0.00, 66.90, 0.00, 18.80, -4, 20, -6, 341, 0, 107, 102, 146, 1.04, 0.02, -0.13, 17.56, 17.66, 17.91, 17.97, 17.78, 17.69, 17.56, 17.66, 17.91, 17.91, 17.72, 17.62, 17.50, 17.62, 17.78, 17.72, 9
0.00, 66.90, 0.00, 18.80, 3, 23, -3, 338, 0, 105, 110, 139, 1.04, 0.03, -0.13, 17.75, 17.91, 18.03, 17.81, 17.94, 17.97, 17.81, 17.97, 18.03, 18.00, 17.81, 18.00, 17.78, 17.81, 17.94, 17.81, 9
0.00, 66.90, 0.00, 18.80, 8, 31, 6, 344, 0, 115, 106, 136, 1.05, 0.03, -0.13, 17.81, 17.72, 18.22, 18.00, 17.81, 18.00, 17.59, 17.94, 18.12, 17.87, 17.81, 17.84, 18.00, 17.81, 17.72, 17.91, 9
0.00, 66.90, 0.00, 18.80, -12, 19, 6, 350, 0, 122, 100, 138, 1.04, 0.02, -0.13, 17.78, 17.81, 17.97, 18.00, 18.09, 17.84, 17.75, 17.91, 18.00, 18.00, 17.69, 17.91, 17.87, 17.78, 17.87, 18.03, 9
