56.50, 17.80, 3, 337, 1, 0, 171, 175, 200, 1.04, -0.04, -0.15, 18.50, 21.25, 16.75, 15.75, 15.25, 14.25, 14.75, 15.50, 20.00, 19.75, 16.75, 15.25, 15.25, 14.75, 14.50, 15.25, 17.50, 16.75, 15.00, 15.75, 15.25, 14.50, 14.50, 14.75, 14.75, 15.50, 15.00, 14.50, 15.25, 15.00, 14.75, 14.50, 15.50, 15.25, 14.75, 14.75, 15.00, 15.50, 15.25, 15.50, 14.75, 15.50, 15.50, 15.25, 15.00, 15.50, 15.50, 14.75, 16.00, 15.50, 15.00, 16.25, 15.75, 15.50, 14.75, 15.00, 16.25, 15.50, 16.00, 16.25, 15.75, 15.50, 15.75, 16.50, 1
56.60, 17.70, 4, 338, 1, 0, 172, 174, 200, 1.04, -0.03, -0.16, 18.75, 21.75, 16.50, 15.25, 15.00, 14.25, 15.00, 15.00, 19.75, 19.50, 16.25, 15.25, 15.25, 14.25, 14.50, 14.50, 17.00, 16.25, 14.75, 15.25, 14.75, 14.50, 15.25, 15.00, 15.25, 15.00, 14.75, 15.25, 15.50, 15.25, 15.00, 14.75, 15.25, 15.25, 15.25, 14.75, 14.75, 15.50, 14.75, 15.75, 14.75, 15.00, 15.50, 15.25, 15.25, 15.50, 15.00, 14.75, 15.75, 14.75, 15.00, 15.75, 15.50, 15.75, 14.50, 15.25, 15.75, 15.75, 16.00, 16.25, 16.00, 15.50, 15.75, 16.50, 1
56.60, 17.70, 3, 347, 1, 0, 171, 175, 200, 1.04, -0.04, -0.17, 18.50, 21.25, 17.50, 15.50, 15.00, 14.50, 15.00, 15.00, 20.50, 20.25, 19.25, 16.00, 15.25, 14.50, 14.75, 14.25, 17.00, 20.00, 18.25, 16.00, 15.25, 14.50, 14.75, 14.50, 15.00, 16.25, 15.25, 14.75, 15.25, 15.25, 15.00, 15.00, 15.00, 15.00, 14.75, 14.75, 15.00, 15.25, 14.50, 15.00, 14.75, 15.00, 15.75, 15.50, 15.00, 15.25, 15.50, 15.00, 15.25, 15.25, 15.00, 15.50, 15.75, 15.25, 15.25, 15.25, 16.25, 15.00, 16.25, 16.00, 16.00, 15.75, 15.50, 16.00, 1
56.60, 17.70, 4, 437, 1, 0, 170, 174, 199, 1.08, -0.04, -0.10, 18.25, 18.50, 16.75, 16.25, 16.25, 15.25, 15.75, 15.50, 19.50, 18.00, 17.75, 17.25, 17.50, 16.25, 15.25, 15.25, 18.25, 18.50, 18.25, 17.50, 16.25, 16.00, 16.00, 15.50, 18.50, 19.25, 18.25, 15.75, 15.50, 17.50, 17.50, 15.75, 20.25, 19.25, 22.00, 15.50, 15.50, 16.75, 20.75, 17.25, 16.25, 16.50, 17.50, 16.00, 15.50, 15.25, 16.75, 16.00, 16.75, 16.00, 15.50, 16.25, 15.00, 15.50, 15.50, 15.50, 16.75, 15.25, 16.25, 16.25, 16.25, 15.75, 16.25, 16.50, 1
56.70, 17.80, 5, 373, 1, 0, 171, 175, 199, 1.04, -0.04, -0.17, 18.00, 15.50, 15.75, 15.75, 15.25, 14.50, 15.50, 15.75, 19.50, 16.25, 15.75, 15.75, 15.75, 15.25, 15.25, 14.50, 20.00, 17.00, 16.25, 17.25, 16.50, 15.50, 15.75, 16.00, 20.00, 19.50, 19.50, 19.75, 17.50, 18.25, 16.25, 15.25, 19.75, 20.25, 21.50, 17.25, 16.75, 17.75, 21.25, 17.00, 19.00, 19.00, 18.75, 16.25, 15.75, 15.50, 17.00, 16.25, 20.50, 20.50, 19.75, 17.00, 16.50, 16.00, 15.25, 16.00, 21.00, 17.00, 17.25, 16.50, 16.00, 16.25, 16.75, 16.75, 1
56.70, 17.80, 36, 358, 1, 0, 170, 175, 200, 1.03, -0.04, -0.16, 18.00, 16.25, 16.00, 16.00, 15.50, 15.25, 15.75, 16.00, 19.50, 16.50, 16.00, 15.75, 15.75, 15.25, 15.00, 14.75, 20.50, 17.50, 16.25, 16.75, 16.00, 15.25, 15.00, 15.75, 20.25, 18.50, 19.75, 19.25, 17.75, 18.25, 16.25, 15.50, 20.50, 20.00, 21.25, 17.50, 16.50, 18.25, 20.75, 18.00, 18.75, 19.25, 18.25, 16.00, 16.25, 16.00, 17.75, 16.75, 20.00, 19.25, 18.75, 16.25, 16.50, 16.00, 15.25, 16.00, 21.00, 16.75, 17.25, 17.00, 16.25, 16.50, 16.50, 16.00, 1
56.70, 17.80, 33, 362, 1, 0, 171, 174, 199, 1.04, -0.04, -0.16, 18.50, 16.00, 16.25, 16.25, 15.75, 15.25, 16.00, 15.75, 19.75, 17.00, 16.25, 16.25, 16.25, 15.50, 15.50, 15.50, 20.50, 17.75, 16.25, 17.00, 16.75, 16.25, 15.75, 16.00, 20.50, 19.50, 19.75, 19.25, 18.00, 18.75, 17.00, 16.25, 20.25, 20.50, 21.25, 18.00, 17.50, 18.75, 22.00, 17.75, 19.75, 19.00, 18.75, 16.50, 16.75, 16.75, 18.00, 17.00, 20.75, 20.75, 19.25, 17.25, 16.75, 16.75, 15.75, 16.00, 20.75, 17.50, 17.25, 17.00, 16.75, 16.25, 16.75, 17.50, 1
56.90, 17.70, 24, 365, 1, 0, 170, 175, 199, 1.04, -0.04, -0.16, 18.75, 16.50, 16.50, 16.50, 16.25, 15.25, 16.00, 16.50, 20.00, 17.00, 16.75, 16.50, 16.00, 15.50, 16.00, 15.75, 20.50, 17.75, 16.25, 17.50, 17.00, 15.75, 16.50, 16.50, 20.50, 19.75, 20.50, 19.75, 18.25, 18.75, 17.00, 16.75, 20.50, 20.50, 21.00, 18.00, 17.25, 18.75, 21.75, 18.00, 19.75, 19.50, 18.75, 17.25, 17.00, 16.75, 18.00, 17.50, 20.75, 19.75, 19.25, 17.00, 17.25, 16.50, 16.00, 16.50, 20.75, 17.75, 17.50, 17.00, 17.25, 17.00, 17.25, 17.75, 1
56.90, 17.70, 5, 356, 1, 0, 170, 175, 199, 1.05, -0.03, -0.16, 18.75, 16.50, 16.50, 16.75, 15.75, 15.75, 16.00, 16.00, 20.00, 16.75, 16.00, 16.75, 16.00, 15.75, 15.25, 15.75, 20.50, 17.75, 16.25, 17.00, 16.75, 16.00, 16.25, 16.50, 20.25, 19.25, 20.00, 19.50, 18.50, 18.50, 17.00, 16.25, 21.00, 20.50, 20.75, 18.00, 18.00, 19.00, 22.00, 18.25, 19.25, 19.75, 19.50, 17.25, 17.00, 17.25, 18.50, 17.00, 20.75, 20.00, 18.50, 17.00, 16.75, 17.25, 16.25, 16.25, 20.50, 17.50, 17.50, 17.25, 16.75, 16.25, 16.50, 18.00, 1
56.90, 17.70, 5, 379, 1, 0, 172, 174, 199, 1.04, -0.05, -0.16, 18.50, 16.75, 17.00, 16.75, 16.25, 15.75, 16.25, 16.75, 19.75, 17.75, 16.50, 17.00, 16.75, 16.25, 15.75, 16.00, 21.00, 19.75, 18.75, 18.50, 17.25, 16.00, 17.00, 17.00, 20.50, 20.50, 21.00, 19.25, 18.00, 19.00, 17.50, 17.25, 21.50, 20.00, 19.50, 16.75, 17.50, 19.00, 22.00, 18.50, 19.75, 18.75, 21.00, 17.25, 16.50, 17.00, 18.25, 17.00, 17.75, 17.00, 17.50, 17.50, 16.75, 16.50, 16.25, 17.00, 17.25, 17.00, 16.75, 17.75, 16.50, 16.50, 16.75, 17.00, 1
